,TG ID,File ID,File Caption,Date
0,2134194986,BQACAgIAAxkBAAII42Vc19oVrmqnO123lCZ5ezoSns_5AAIMNwACp-7gSkMqRxJPAAH1dzME,NoneRahmat Fayziy. Hazrati inson (roman) (2).pdf,2023-11-21 16:16:26+00:00
1,2134194986,BQACAgIAAxkBAAIJbWVdrqC2jqJdwGtynj49iru09UB6AALnMwACAyvwSun-T47jOX8nMwQ,NoneYosh fiziologiyasi va gigienasi.doc,2023-11-22 07:32:48+00:00
2,2134194986,BQACAgIAAxkBAAIJb2VdrrIsUs26eZiUjoUZ1twq5ebzAALpMwACAyvwSjELk3qY9Ha1MwQ,NoneTog'ay Murod. Yulduzlar mangu yonadi (qissalar).pdf,2023-11-22 07:33:06+00:00
3,2134194986,BQACAgIAAxkBAAIJcWVdrrRHGFF3uqqB0OIqp8US1WRCAALqMwACAyvwSoGbq5uRSDw-MwQ,NoneGigiyena_va_sanitariya_tekshirishlar.pdf,2023-11-22 07:33:08+00:00
4,2134194986,BQACAgIAAxkBAAIJc2VdrsJTy-xsj0QZmtFa46vBLJSrAALsMwACAyvwSpQPjWUjpmu0MwQ,NonePedagogik_texnologiya_O'quv_qo'llanma_Mirhayitova_Soxibaxon.pdf,2023-11-22 07:33:22+00:00
5,2134194986,BQACAgIAAxkBAAIJdWVdrsvk130N3KrOWkxK6WqBw0yQAALtMwACAyvwSjPbnx1mmz9iMwQ,None5-Adabiyot.Darlik-2020.pdf,2023-11-22 07:33:31+00:00
6,2134194986,BQACAgIAAxkBAAIJd2Vdrs95beelsfLtbOxkg6-1pbIUAALuMwACAyvwSq-wQBAKxOaPMwQ,Noneadabiyot_2qism_6_uzb.pdf,2023-11-22 07:33:35+00:00
7,2134194986,BQACAgIAAxkBAAIJeWVdrtZTj2AxJQbwwwJ_NSFy1ea5AALwMwACAyvwSpiK9-xL9eAVMwQ,NoneJon G. Miller_ COC! Savol ortidagi savol.mhtml,2023-11-22 07:33:42+00:00
8,2134194986,BQACAgIAAxkBAAIJe2VdrtrjjzL5nLw3MLUglKMhIupOAALxMwACAyvwSiJmpepDCJUvMwQ,NoneСавол ортидаги саволлар[@Uz_baza].pdf,2023-11-22 07:33:46+00:00
9,2134194986,BQACAgIAAxkBAAIJfWVdruD4KOLv1qCdzgR9yBT-VFuLAALzMwACAyvwSl0W8clCvBpkMwQ,None6-sinf biologiya.pdf,2023-11-22 07:33:53+00:00
10,2134194986,BQACAgIAAxkBAAIJf2VdruhRqmuGcdetmPiUolq9rV0kAAL0MwACAyvwSoH_llC7OM5OMwQ,NoneO'tkir Hoshimov - tushda kechgan umrlar.pdf,2023-11-22 07:34:01+00:00
11,2134194986,BQACAgIAAxkBAAIJgWVdrvOUu_h-POpiuUiIAwdRhJR7AAL1MwACAyvwSmacx85sS1laMwQ,Noneozbekiston_tarixi_11_uzb.pdf,2023-11-22 07:34:11+00:00
12,2134194986,BQACAgIAAxkBAAIJg2VdrwPzTskghlhV6IRUSrFEZhnXAAL2MwACAyvwSsGEwjfZQWjaMwQ,NoneHayot yutqazgan joyingdan boshlanadi. @Hayrli_umidlar.pdf,2023-11-22 07:34:28+00:00
13,2134194986,BQACAgIAAxkBAAIJhWVdrx89aPH1F55LWG-G6opYXKSCAAL3MwACAyvwSla5Ds-5apWNMwQ,NoneTasviriy san'at 6-sinf.pdf,2023-11-22 07:34:55+00:00
14,2134194986,BQACAgIAAxkBAAIJh2Vdry31rbyGJVHkksGmxeNd6yj0AAL4MwACAyvwSnhKPfhDMWZiMwQ,None6-sinf tasviriy san'at rus.pdf,2023-11-22 07:35:09+00:00
15,2134194986,BQACAgIAAxkBAAIJiWVdry9vY6p5BDESxJD8n_TXd5vRAAL5MwACAyvwSjkAAb-vyncppDME,NoneFaqat ahmoqlargina sakkiz soat uxlaydi (1).pdf,2023-11-22 07:35:11+00:00
16,2134194986,BQACAgIAAxkBAAIJi2VdrzjP1R_ogsbIrooEIv8_Zl8YAAL6MwACAyvwSkSIzEe1Y5_pMwQ,NoneQissai Mashrab.pdf,2023-11-22 07:35:21+00:00
17,2134194986,BQACAgIAAxkBAAIJjWVdr0BBBlquOT7WylxR3raOZl5LAAL7MwACAyvwShsiA5pNYYVaMwQ,NoneShuhrat. Mashrab (roman) [@e_kutubxona].pdf,2023-11-22 07:35:29+00:00
18,2134194986,BQACAgIAAxkBAAIJj2Vdr0O6rmqBCakjsYyd8kA5_V3qAAL8MwACAyvwSpQY6Y5ud7NlMwQ,NoneBoborahim Mashrab. Agar oshiqligim aytsam.pdf,2023-11-22 07:35:31+00:00
19,2134194986,BQACAgIAAxkBAAIJkWVdr0dyP4xTGYfiLry_j3YI--y2AAL9MwACAyvwSqMHhkuyZrDkMwQ,NoneAdabiyot 7(@Kitob_ulashaman_bot).pdf,2023-11-22 07:35:35+00:00
20,2134194986,BQACAgIAAxkBAAIJk2Vdr1qahXX3REFfsGpeWHvpPGccAAL-MwACAyvwSr2BC4dXdy0fMwQ,NoneBaxtning olis manzili (Nuriddin Ismoilov).pdf,2023-11-22 07:35:55+00:00
21,2134194986,BQACAgIAAxkBAAIJlWVdr2C69uV70UYzrG1BPZz7ux9EAAL_MwACAyvwSrgd8tZ12eTEMwQ,NoneVilyam Shekspir. Otello (tragediya).pdf,2023-11-22 07:36:00+00:00
22,2134194986,BQACAgIAAxkBAAIJl2Vdr2lCCkrYwL_fyIt3CXkk9YYwAAM0AAIDK_BKobL_XYkCL9czBA,NoneMirkarim Osim. Zulmat ichra nur (qissa).pdf,2023-11-22 07:36:10+00:00
23,2134194986,BQACAgIAAxkBAAIJmWVdr2z6HGr6Z6yLvKRfoz99v-6oAAIBNAACAyvwSjDCIwLomls2MwQ,NoneAbdulla Qodiriy. O'tkan kunlar (roman).pdf,2023-11-22 07:36:12+00:00
24,2134194986,BQACAgIAAxkBAAIJm2Vdr3bIt59RIxLNXeeiyCmiXM3bAAICNAACAyvwSu_6IzEgKLRXMwQ,NoneImomning maneken qizi.pdf,2023-11-22 07:36:22+00:00
25,2134194986,BQACAgIAAxkBAAIJnWVdr4E7YvZFEPR9oyh2Ii9aOJGRAAIDNAACAyvwSsyYOQ5VdvyKMwQ,"NoneRobert Kiosaki Boy ota, kambag'al ota.pdf",2023-11-22 07:36:35+00:00
26,2134194986,BQACAgIAAxkBAAIJn2Vdr4usKME4kpazXfkFfxNkQyBlAAIENAACAyvwSuRqCwSrLvfAMwQ,NoneKimyoviy reaksiyalar to'plami.pdf,2023-11-22 07:36:43+00:00
27,2134194986,BQACAgIAAxkBAAIJoWVdr6Gde1VKzLxwhTWUF_IBawtEAAIFNAACAyvwSvDbXlUhwGtHMwQ,NoneÒtmishdan ertaklar (qissa).pdf,2023-11-22 07:37:05+00:00
28,2134194986,BQACAgIAAxkBAAIJo2Vdr7vA0fHgXFWsOH06u3Ol_ZLpAAIHNAACAyvwSvZqEeJO6RqCMwQ,NoneHibat ul haqoyiq .pdf,2023-11-22 07:37:31+00:00
29,2134194986,BQACAgIAAxkBAAIJpWVdr-Ou4ZqnY-YmUoIP7QYUb5uFAAIJNAACAyvwSitXC23UGtWsMwQ,NoneBAZILAR OLISDAN SEVARLAR.pdf_compressed.pdf,2023-11-22 07:38:11+00:00
30,2134194986,BQACAgIAAxkBAAIJp2Vdr-byFquKS0ZcvwenMmsqTWSrAAIKNAACAyvwShZrneJ3AuWdMwQ,None@uz_baza Arab xalq ertaklari. Ming bir kecha (2 - kitob).pdf,2023-11-22 07:38:15+00:00
31,2134194986,BQACAgIAAxkBAAIJqWVdr-k0b3IjfCOoKB-Hfa4ayspFAAILNAACAyvwSnOF6SfryAZPMwQ,NoneChin sevish (drama) [@kitoblar1].pdf,2023-11-22 07:38:18+00:00
32,2134194986,BQACAgIAAxkBAAIJq2Vdr--XmhYbGimOS3W8SGJH-KF7AAIMNAACAyvwSg8c6qXh7ke7MwQ,NoneTexnologiya 6-sinf.pdf,2023-11-22 07:38:23+00:00
33,2134194986,BQACAgIAAxkBAAIJrWVdsBAzftqMkNzWWKpMN0l5VsSdAAIONAACAyvwSqs_UTvQy3nBMwQ,NoneArabcha_o'zbekcha_boshlang'ich.pdf,2023-11-22 07:38:56+00:00
34,2134194986,BQACAgIAAxkBAAIJr2VdsC4hmTJB-h3etBkug5bpa2c1AAIPNAACAyvwSurV21ysdwryMwQ,None@AKT_Official__9-sinf INFORMATIKA va AT darslik_2020.pdf,2023-11-22 07:39:26+00:00
35,2134194986,BQACAgIAAxkBAAIJsWVdsC9ThhIFUSSVfGxXP0kY8g-KAAIQNAACAyvwSi_-ruek2XPAMwQ,Nonesema_marashli_quloq_oshiq_bo_larkan_ko_zdan_avval_asarida_yigit.pdf,2023-11-22 07:39:27+00:00
36,2134194986,BQACAgIAAxkBAAIJs2VdsDFLcFm2ZIUYtV_J_U1N2lpnAAIRNAACAyvwSs85WCuydAlBMwQ,Noneyoshlarni_harbiy_vatanparvarlik_tarbiyasida_yosh_chegarachilar_klublarining.pdf,2023-11-22 07:39:29+00:00
37,2134194986,BQACAgIAAxkBAAIJtWVdsD5W3nxKvX_wxei4YTxrEoUIAAISNAACAyvwSsnOak5t-7XxMwQ,Noneharbiy.pdf,2023-11-22 07:39:43+00:00
38,2134194986,BQACAgIAAxkBAAIJt2VdsEC0jP-ApydCA8zjFnNQta3-AAITNAACAyvwSjvXyLk7pUqvMwQ,NoneHarbiy nizom - Vikipediya (1).pdf,2023-11-22 07:39:44+00:00
39,2134194986,BQACAgIAAxkBAAIJuWVdsEtAPhDYmY6Mhb1XN9rJtGNvAAIWNAACAyvwSthu0nqBBEkFMwQ,NoneTexnologiya 6(@Kitob_ulashaman_bot).pdf,2023-11-22 07:39:55+00:00
40,2134194986,BQACAgIAAxkBAAIJu2VdsF_reEi7fPbf8I_DYKCcm_jWAAIXNAACAyvwSkSRM8pxLIP5MwQ,Nonechingiz-aytmatov_sohil_yoqalab_chopayotgan_olapar_qissa.pdf,2023-11-22 07:40:16+00:00
41,2134194986,BQACAgIAAxkBAAIJvWVdsGYTtCadGHNFUG5dPSqnURlLAAIYNAACAyvwSjSqiaSthZ4mMwQ,NoneBonu Iqbol Mirzo.pdf,2023-11-22 07:40:23+00:00
42,2134194986,BQACAgIAAxkBAAIJv2VdsGpI4xhpFWmcNVthptTff8G4AAIZNAACAyvwSvxRam32cLkGMwQ,NoneMahbub ul-qulub.pdf,2023-11-22 07:40:26+00:00
43,2134194986,BQACAgIAAxkBAAIJwWVdsHVjd1OEVxjC6ZgOp1FmuD4IAAIbNAACAyvwSmgkFezDIJSfMwQ,NoneAlisher Navoiy - Mahbub ul-qulub.pdf,2023-11-22 07:40:37+00:00
44,2134194986,BQACAgIAAxkBAAIJw2VdsINTwHRNghw6AvsO5EixNatQAAIcNAACAyvwSkNCL-yxmPQsMwQ,NoneVilyam Shekspir. Hamlet (tragediya).pdf,2023-11-22 07:40:52+00:00
45,2134194986,BQACAgIAAxkBAAIJxWVdsIxiSNFIO8jfdnIJBthBawasAAIdNAACAyvwSsywg5di_DwOMwQ,None[@kitoblar1] Gamlet (tragediya).pdf,2023-11-22 07:41:00+00:00
46,2134194986,BQACAgIAAxkBAAIJx2VdsJCjYSMiiYZxKSQhKXKez0gSAAIeNAACAyvwShl20xsfhnY_MwQ,NoneМарк_Мэнсон_Beparvolikning_nozik_san'ati_ingliz_tilida_pdf.pdf,2023-11-22 07:41:05+00:00
47,2134194986,BQACAgIAAxkBAAIJyWVdsJcH717DNzc2wj5IMYm6BbPfAAIfNAACAyvwStEQXSbFU5icMwQ,NoneМарк_Мэнсон_Beparvolikning_nozik_san'ati_rus_tilida.pdf,2023-11-22 07:41:11+00:00
48,2134194986,BQACAgIAAxkBAAIJy2VdsJ596lGtjrBNcyYC0zyBokRXAAIgNAACAyvwSuM-mo8P6jdcMwQ,NoneSferik Ko'zgular. Masalalar..pdf,2023-11-22 07:41:18+00:00
49,2134194986,BQACAgIAAxkBAAIJzWVdsKdwhv0WgYo6V6ypS_aXr86wAAIhNAACAyvwSs-ldxt2LemMMwQ,NoneSadriddin Ayniy. Sudxo'rning o'limi (qissa).pdf,2023-11-22 07:41:28+00:00
50,2134194986,BQACAgIAAxkBAAIJz2VdsKxnOo-KtAABH9Ru1owSBJSrrgACIjQAAgMr8Eq3vQ5OmfDJVDME,NoneImom G'azzoliy. Ihyou ulumid-din. O'limdan keyin....pdf,2023-11-22 07:41:33+00:00
51,2134194986,BQACAgIAAxkBAAILEGVdvSnCyHqopYAV4u0dYnCXVCSpAAKINAACAyvwSrbuQJTN0cemMwQ,NoneMahbub ul-qulub.pdf,2023-11-22 08:34:50+00:00
52,2134194986,BQACAgIAAxkBAAIMtGVd719we6zycb2ikycS8mACCiK6AALwNgACAyvwSvkl1U5wR70VMwQ,NoneWriting_for_IELTS.pdf,2023-11-22 12:09:03+00:00
53,2134194986,BQACAgIAAxkBAAIMtmVd74EM65dM-1WG8czw_c_FAq0_AALyNgACAyvwSgga4yp_4MVaMwQ,NoneSpeaking_for_IELTS.pdf,2023-11-22 12:09:37+00:00
54,2134194986,BQACAgIAAxkBAAIMuGVd8AbQUeaONvKJ88opVw-D_CKzAAL6NgACAyvwSsoVMn1OgvPsMwQ,NoneCambridge International Dictionary of Idioms.pdf,2023-11-22 12:11:50+00:00
55,2134194986,BQACAgIAAxkBAAIMumVd8EUofzJwnRVHEhWHhSAZH174AAL8NgACAyvwSsdE0GR-8RqtMwQ,NoneCambridge - English Collocations In Use.pdf,2023-11-22 12:12:54+00:00
56,2134194986,BQACAgIAAxkBAAIMw2Vd8gc8R7-jUZMOI363cPZXGzwVAAIWNwACAyvwSq9bAAERlS63ojME,None@IELTSmaterials_N1 Topic Vocabularies.pdf,2023-11-22 12:20:24+00:00
57,2134194986,BQACAgIAAxkBAAIMxWVd8jCJLPAap5wdVcUqPuV11pc1AAIYNwACAyvwSo5FAyMwctk0MwQ,None@IELTSmaterials_N1 IELTS Special Journal.pdf,2023-11-22 12:21:05+00:00
