,word,pronunciation,russian
0,be,[tə,biː]
1,do,[du],"Делать
"
2,feel,[fiːl],"Чувствовать
"
3,see,[siː],"Видеть
"
4,hear,[hɪər],"Слышать
"
5,run,[rʌn],"Бежать
"
6,get,[ɡet],"Получать
"
7,make,[meɪk],"Сделать
"
8,cook,[kʊk],"Готовить
"
9,sing,[sɪŋ],"Петь
"
10,speak,[spiːk],"Разговаривать
"
11,say,[seɪ],"Говорить
"
12,tell,[tel],"Рассказывать
"
13,take,[teɪk],"Брать
"
14,sit,[sɪt],"Садиться
"
15,stand,[stænd],"Стоять
"
16,laugh,[lɑːf],"Смеяться
"
17,smile,[smaɪl],"Улыбаться
"
18,open,[ˈəʊpən],"Открывать
"
19,close,[kləʊz],"Закрывать
"
20,love,[lʌv],"Любить
"
21,like,[laɪk],"Нравиться
"
22,give,[ɡɪv],"Давать
"
23,bring,[brɪŋ],"Приносить
"
24,breath,[breθ],"Дышать
"
25,buy,[baɪ],"Покупать
"
26,sell,[sel],"Продавать
"
27,forget,[fəˈɡet],"Забывать
"
28,believe,[bɪˈliːv],"Верить
"
29,have,[həv],"Иметь
"
30,go,[ɡəʊ],"Идти
"
31,know,[nəʊ],"Знать
"
32,think,[θɪŋk],"Думать
"
33,come,[kʌm],"Приходить
"
34,want,[wɒnt],"Хотеть
"
35,use,[juːz],"Использовать
"
36,find,[faɪnd],"Находить
"
37,work,[wɜːk],"Работать
"
38,eat,[iːt],"Есть
"
39,write,[raɪt],"Писать
"
40,read,[riːd],"Читать
"
41,call,[kɔːl],"Звонить
"
42,try,[traɪ],"Пытаться
"
43,need,[niːd],"Нуждаться
"
44,become,[bɪˈkʌm],"Становиться
"
45,put,[pʊt],"Класть
"
46,leave,[liːv],"Оставлять
"
47,pay,[peɪ],"Платить
"
48,show,[ʃəʊ],"Показывать
"
49,cry,[kraɪ],"Плакать
"
50,move,[muːv],"Двигаться
"
51,jump,[dʒʌmp],"Прыгать
"
52,live,[lɪv],"Жить
"
53,die,[daɪ],"Умирать
"
54,happen,[ˈhæpən],"Случаться
"
55,lose,[luːz],"Проигрывать
"
56,hate,[heɪt],"Ненавидеть
"
57,include,[ɪnˈkluːd],Включать
58,turn,on,[tɜːn
59,turn,off,[tɜːn
60,continue,[kənˈtɪnjuː],"Продолжать
"
61,change,[tʃeɪndʒ],"Менять
"
62,wash,[wɒʃ],"Мыть
"
63,clean,[kliːn],"Убирать,"
64,lead,[liːd],"Вести
"
65,understand,[ˌʌndəˈstænd],"Понимать
"
66,watch,[wɒtʃ],"Смотреть
"
67,discover,[dɪˈskʌvə(r)],"Исследовать
"
68,imagine,[ɪˈmædʒɪn],"Представлять
"
69,introduce,[ˌɪntrəˈdjuːs],"Представить
"
70,follow,[ˈfɒləʊ],"Следовать
"
71,create,[kriˈeɪt],"Создавать
"
72,grow,[ɡrəʊ],"Расти
"
73,spend,[spend],"Тратить
"
74,win,[wɪn],"Выигрывать
"
75,offer,[ˈɒfə(r)],"Предлагать
"
76,learn,[lɜːn],"Изучать
"
77,appear,[əˈpɪə(r)],"Появляться
"
78,disappear,[ˌdɪsəˈpɪə(r)],"Исчезать
"
79,build,[bɪld],"Строить
"
80,break,[breɪk],"Ломать
"
81,send,[send],"Посылать
"
82,fall,[fɔːl],"Падать
"
83,cut,[kʌt],"Резать
"
84,achieve,[əˈtʃiːv],"Достигать
"
85,communicate,[kəˈmjuːnɪkeɪt],"Общаться
"
86,kill,[kɪl],"Убивать
"
87,pass,[pɑːs],"Проходить
"
88,pass,[pɑːs],"Проходить
"
89,fly,[flaɪ],"Летать
"
90,swim,[swɪm],"Плавать
"
91,decide,[dɪˈsaɪd],"Решать
"
92,return,[rɪˈtɜːn],"Возвращаться
"
93,hope,[həʊp],"Надеяться
"
94,explain,[ɪkˈspleɪn],"Объяснять
"
95,propose,[prəˈpəʊz],"Предлагать
"
96,develop,[dɪˈveləp],"Развивать
"
97,support,[səˈpɔːt],"Поддерживать
"
98,dance,[dɑːns],"Танцевать
"
99,draw,[drɔː],"Рисовать
"
100,book,[bʊk],"Бронировать
"
101,be,afraid,[bi
102,agree,[əˈɡriː],"Соглашаться
"
103,check,up,[tʃek
104,delete,[dɪˈliːt],"Удалять
"
105,choose,[tʃuːz],"Выбирать
"
106,catch,[kætʃ],"Ловить
"
107,ask,[ɑːsk],"Спрашивать
"
108,answer,[ˈɑːnsə(r)],"Отвечать
"
109,air,[ən,eə(r)]
110,wind,[wɪnd],"Ветер
"
111,water,[ˈwɔːtə(r)],"Вода
"
112,west,[west],"Запад
"
113,east,[iːst],"Восток
"
114,north,[nɔːθ],"Север
"
115,south,[saʊθ],"Юг
"
116,tree,[triː],"Дерево
"
117,sea,[siː],"Море
"
118,ocean,[ˈəʊʃn],"Океан
"
119,rock,[rɒk],"Скала
"
120,plant,[plɑːnt],"Растение
"
121,flower,[ˈflaʊə(r)],"Цветок
"
122,forest,[ˈfɒrɪst],"Лес
"
123,person,[ˈpɜːsn],"Личность
"
124,night,[naɪt],"Ночь
"
125,morning,[ˈmɔːnɪŋ],"Утро
"
126,day,[deɪ],"День
"
127,evening,[ˈiːvnɪŋ],"Вечер
"
128,life,[laɪf],"Жизнь
"
129,mountain,[ˈmaʊntən],"Гора
"
130,land,[lænd],"Земля
"
131,house,[haʊs],"Дом
"
132,fire,[ˈfaɪə(r)],"Огонь
"
133,country,[ˈkʌntri],"Страна
"
134,animal,[ˈænɪml],"Животное
"
135,bird,[bɜːd],"Птица
"
136,fish,[fɪʃ],"Рыба
"
137,insect,[ˈɪnsekt],"Насекомое
"
138,city,[ˈsɪti],"Город
"
139,world,[wɜːld],"Мир
"
